Year;Month;Day;Period;101;102;103;104;113;118;119;122;122
2020;1;1;1;0;0;0;0;0;0;0;25.2;713.2
2020;1;1;2;0;0;0;0;0;0;0;22.8;712.8
2020;1;1;3;0;0;0;0;0;0;0;22.8;708.4
2020;1;1;4;0;0;0;0;0;0;0;25.2;710.7
2020;1;1;5;0;0;0;0;0;0;0;22.8;701.4
2020;1;1;6;0;0;0;0;0;0;0;22.8;682.5
2020;1;1;7;0;0;0;0;0;0;0;25.2;614.7
2020;1;1;8;59.7;30.3;14.9;14.9;49.7;15.7;13.6;22.8;517.7
2020;1;1;9;72.3;36.6;29.2;17.5;63.1;35.7;28.3;22.8;426.6
2020;1;1;10;74.6;37.8;38.3;18.3;66.6;50.2;37.4;22.8;274.2
2020;1;1;11;75.2;37.6;44.9;18.3;67.1;59.7;44.1;22.8;93
2020;1;1;12;74.2;36.8;49;17.7;67.6;63.1;45.8;22.8;6.3
2020;1;1;13;73.3;36;47;17.8;66.5;61.4;45.3;22.8;3.8
2020;1;1;14;71;35;40.7;17.7;63.3;54.7;39.6;25.2;1.1
2020;1;1;15;62.6;30.9;29.7;15.7;55.1;41.8;29.5;25.2;0
2020;1;1;16;40.2;20.1;12.7;10.3;31.4;19.7;13.9;79.2;0
2020;1;1;17;0;0;0;0;0;0;0;76.2;0.9
2020;1;1;18;0;0;0;0;0;0;0;79.2;276.3
2020;1;1;19;0;0;0;0;0;0;0;54;272.9
2020;1;1;20;0;0;0;0;0;0;0;25.2;345.6
2020;1;1;21;0;0;0;0;0;0;0;22.8;411.7
2020;1;1;22;0;0;0;0;0;0;0;22.8;376.6
2020;1;1;23;0;0;0;0;0;0;0;22.8;561.3
2020;1;1;24;0;0;0;0;0;0;0;22.8;568.4
2020;1;2;1;0;0;0;0;0;0;0;16.8;630
2020;1;2;2;0;0;0;0;0;0;0;16.8;672.3
2020;1;2;3;0;0;0;0;0;0;0;16.8;661.3
2020;1;2;4;0;0;0;0;0;0;0;16.8;654
2020;1;2;5;0;0;0;0;0;0;0;16.8;654.4
2020;1;2;6;0;0;0;0;0;0;0;16.8;666.4
2020;1;2;7;0;0;0;0;0;0;0;19.8;686.7
2020;1;2;8;59.7;29.7;14.8;14.9;50.7;15.3;13.3;14.4;689.3
2020;1;2;9;73.5;36.2;29.8;18.4;65.1;35.4;28;19.8;683.8
2020;1;2;10;76.2;37.6;40.8;18.8;68.2;50.6;38.3;14.4;698.6
2020;1;2;11;75.5;37.2;46;18.7;68.7;59.7;44;16.8;713.5
2020;1;2;12;74.8;37;48.2;18.2;68.2;62.6;46;16.8;710.3
