Stage,StateVarName,Weight
0,pc_1,1.0
0,pc_2,1.0
0,pc_3,1.0
0,pc_4,1.0
0,pc_5,1.0
0,pc_6,1.0
1,pc_1,1.0
1,pc_2,1.0
1,pc_3,1.0
1,pc_4,1.0
1,pc_5,1.0
1,pc_6,1.0
2,pc_1,1.0
2,pc_2,1.0
2,pc_3,1.0
2,pc_4,1.0
2,pc_5,1.0
2,pc_6,1.0
3,pc_1,1.0
3,pc_2,1.0
3,pc_3,1.0
3,pc_4,1.0
3,pc_5,1.0
3,pc_6,1.0
4,pc_1,1.0
4,pc_2,1.0
4,pc_3,1.0
4,pc_4,1.0
4,pc_5,1.0
4,pc_6,1.0
5,pc_1,1.0
5,pc_2,1.0
5,pc_3,1.0
5,pc_4,1.0
5,pc_5,1.0
5,pc_6,1.0
6,pc_1,1.0
6,pc_2,1.0
6,pc_3,1.0
6,pc_4,1.0
6,pc_5,1.0
6,pc_6,1.0
7,pc_1,1.0
7,pc_2,1.0
7,pc_3,1.0
7,pc_4,1.0
7,pc_5,1.0
7,pc_6,1.0
